Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Coastal protection,Cooling Degree Days,Heat Index 35,Heating Degree Days,Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Population density (people per sq. km of land area),Proportion of bodies of water with good ambient water quality,Standardised Precipitation-Evapotranspiration Index,Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),"Mammal species, threatened",Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Albania,2012,20.9627,4.5385,1.5865,5.3536,2.6032,0.9459,8.1772,2.8585,0.0,15.7173,2.51,699.4449,57.5886,,39.9,73.96,969.69,0.0,4552.5,19.8123,6.7569,104.4054,,-1.0177,43.8431,17.5914,95.06,1.9636,0.1839,4.1797,28.6466,,,5395.4743
Albania,2013,19.4075,4.7703,1.6935,1.3449,2.6766,0.8989,8.4377,2.9954,0.0,25.2004,2.89,826.0184,56.2284,,41.1,73.96,692.98,0.0,4167.62,19.812,6.6085,102.8066,,-0.5017,43.3321,18.9248,95.64,2.2245,0.1624,4.088,28.6986,,7.7,2569.968
Albania,2014,19.3679,5.1022,1.8394,1.2246,2.7464,0.9708,8.9188,3.2154,0.0,28.912,2.86,844.5901,61.2387,,38.6,73.96,521.28,0.0,4026.05,19.3167,6.4602,101.2324,,1.5296,42.8573,19.2378,96.84,2.436,0.1677,3.9962,28.7505,,1.8,1051.6486
Albania,2015,19.1216,4.8756,1.7851,1.2718,2.787,0.9918,8.7633,3.2085,0.0,12.6965,2.62,803.9874,47.3534,,38.5,73.96,885.16,0.04,4324.21,19.9393,5.5288,99.6822,,-0.6564,42.8577,18.7472,100.07,1.2323,0.1891,3.4201,28.8025,,2.2,283.5747
Albania,2016,17.6022,4.5382,1.6874,1.3456,2.7356,0.9786,8.3754,3.1141,0.0,20.2724,2.61,840.6194,0.0,,39.4,73.96,685.89,0.0,4198.41,19.0618,6.5625,98.1558,,-0.0694,43.1277,19.1672,103.09,0.7267,0.1545,4.0595,28.8022,,13.1,928.3912
Albania,2017,18.5552,5.3613,2.0244,1.3456,2.7294,0.967,9.1947,3.4719,0.0,38.8336,2.64,894.4664,0.0,,36.9,73.96,877.65,0.01,4399.74,20.3115,6.5565,96.6527,,-1.0242,42.857,18.0791,103.88,0.892,0.183,4.0558,28.7921,,13.5,1686.8241
Albania,2018,19.0462,5.3341,2.0455,1.3456,2.7526,0.9504,9.1911,3.5246,0.0,21.2695,2.53,904.7398,0.0,,37.8,73.96,723.39,0.0,3854.27,19.6874,5.7572,95.1727,,-1.3465,42.8497,17.9156,106.02,1.0635,0.1402,3.5613,28.792,3.0,13.5,2048.2932
Albania,2019,15.7047,4.984,1.941,1.3456,2.5424,0.9709,8.6662,3.375,0.0,32.2318,2.45,908.3173,0.0,,40.1,73.96,841.74,0.01,4082.72,19.9359,6.7969,93.7154,,0.3625,42.8467,18.1604,104.0,1.0756,0.1399,4.2045,28.792,,14.2,1073.5003
Albania,2020,15.707,4.5676,1.8065,1.3456,2.3584,0.8868,7.9972,3.1628,0.0,36.47,2.34,855.1856,0.0,,44.4,73.96,776.43,0.0,4152.69,20.315,4.7236,92.2803,,-1.0306,42.5385,18.8061,105.72,0.4984,0.1365,2.9219,28.792,,14.2,1116.9702
Armenia,2012,43.2896,5.6696,1.8748,-0.4643,2.3007,0.4042,8.5676,2.8331,0.0,74.3404,4.16,982.4424,77.3222,28.8091,6.6,,235.82,0.0,7725.12,14.1877,59.3302,106.2206,,-0.4054,59.1149,17.9127,88.2,0.9759,0.3395,42.878,11.5962,,,197.6782
