Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heating Degree Days,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Standardised Precipitation-Evapotranspiration Index,"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Albania,2012,20.9627,5.3536,2.8585,0.0,15.7173,2.51,699.4449,57.5886,,39.9,969.69,4552.5,6.7569,-1.0177,17.5914,95.06,1.9636,0.1839,4.1797,28.6466,,5395.4743
Albania,2013,19.4075,1.3449,2.9954,0.0,25.2004,2.89,826.0184,56.2284,,41.1,692.98,4167.62,6.6085,-0.5017,18.9248,95.64,2.2245,0.1624,4.088,28.6986,7.7,2569.968
Albania,2014,19.3679,1.2246,3.2154,0.0,28.912,2.86,844.5901,61.2387,,38.6,521.28,4026.05,6.4602,1.5296,19.2378,96.84,2.436,0.1677,3.9962,28.7505,1.8,1051.6486
Albania,2015,19.1216,1.2718,3.2085,0.0,12.6965,2.62,803.9874,47.3534,,38.5,885.16,4324.21,5.5288,-0.6564,18.7472,100.07,1.2323,0.1891,3.4201,28.8025,2.2,283.5747
Albania,2016,17.6022,1.3456,3.1141,0.0,20.2724,2.61,840.6194,0.0,,39.4,685.89,4198.41,6.5625,-0.0694,19.1672,103.09,0.7267,0.1545,4.0595,28.8022,13.1,928.3912
Albania,2017,18.5552,1.3456,3.4719,0.0,38.8336,2.64,894.4664,0.0,,36.9,877.65,4399.74,6.5565,-1.0242,18.0791,103.88,0.892,0.183,4.0558,28.7921,13.5,1686.8241
Albania,2018,19.0462,1.3456,3.5246,0.0,21.2695,2.53,904.7398,0.0,,37.8,723.39,3854.27,5.7572,-1.3465,17.9156,106.02,1.0635,0.1402,3.5613,28.792,13.5,2048.2932
Albania,2019,15.7047,1.3456,3.375,0.0,32.2318,2.45,908.3173,0.0,,40.1,841.74,4082.72,6.7969,0.3625,18.1604,104.0,1.0756,0.1399,4.2045,28.792,14.2,1073.5003
Albania,2020,15.707,1.3456,3.1628,0.0,36.47,2.34,855.1856,0.0,,44.4,776.43,4152.69,4.7236,-1.0306,18.8061,105.72,0.4984,0.1365,2.9219,28.792,14.2,1116.9702
Armenia,2012,43.2896,-0.4643,2.8331,0.0,74.3404,4.16,982.4424,77.3222,28.8091,6.6,235.82,7725.12,59.3302,-0.4054,17.9127,88.2,0.9759,0.3395,42.878,11.5962,,197.6782
Armenia,2013,41.0505,-0.4769,2.8495,0.0,73.6823,3.92,959.8017,75.4887,28.2387,6.8,168.08,7823.84,59.6127,-0.6832,18.4348,92.49,0.6953,0.2192,43.0821,11.5889,23.3,41.8413
Armenia,2014,38.6392,-0.4802,2.9758,0.0,71.6592,4.12,1045.9751,69.9822,25.7659,7.1,286.29,7436.37,57.6962,-0.8997,18.072,97.4,0.2657,0.2305,41.697,11.5816,23.1,38.1276
Armenia,2015,38.1149,-0.4789,2.961,0.0,67.6293,4.12,1084.5206,63.4819,28.328,10.7,330.28,7518.49,65.9875,0.1819,17.2231,106.65,0.513,0.2539,47.6892,11.5743,23.1,1.9901
Armenia,2016,35.8609,-0.4857,2.9179,0.0,68.2448,3.93,1043.098,0.0,32.1718,13.2,224.94,8009.69,64.1719,1.1197,16.3905,95.95,0.2168,0.2168,46.377,11.5669,23.1,30.0476
Armenia,2017,34.0154,-0.4706,2.999,0.0,68.9606,3.86,1105.967,0.0,29.2531,12.6,352.86,7926.8,57.8979,-1.6766,14.9943,95.24,0.2375,0.2375,41.8428,11.5595,23.1,41.7473
Armenia,2018,34.2014,-0.4706,3.0581,0.0,72.7318,3.51,1072.3368,0.0,30.0282,11.1,312.85,6894.05,54.7509,-0.0345,13.9423,83.48,0.6814,0.268,39.5685,11.5522,23.1,5.9025
