Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heat Index 35,Heating Degree Days,Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Population density (people per sq. km of land area),Standardised Precipitation-Evapotranspiration Index,Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Albania,2012,20.9627,4.5329,1.5629,5.3536,2.6436,0.9242,8.1594,2.8132,0.0,15.7173,2.51,689.8728,57.88,,39.9,969.69,0.0,4552.5,19.8123,6.7569,105.8541,-1.0177,43.8431,17.5914,95.06,1.9636,0.1839,4.1797,28.6466,,5395.4743
Albania,2013,19.4075,4.7693,1.6474,1.3449,2.7185,0.8764,8.4245,2.9099,0.0,25.2004,2.89,803.7095,56.53,,41.1,692.98,0.0,4167.62,19.812,6.6085,105.6603,-0.5017,43.3321,18.9248,95.64,2.2245,0.1624,4.088,28.6986,7.7,2569.968
Albania,2014,19.3679,5.0958,1.7638,1.2246,2.7898,0.9471,8.8997,3.0804,0.0,28.912,2.86,810.8729,61.53,,38.6,521.28,0.0,4026.05,19.3167,6.4602,105.4418,1.5296,42.8573,19.2378,96.84,2.436,0.1677,3.9962,28.7505,1.8,1051.6486
Albania,2015,19.1216,4.8635,1.6883,1.2718,2.832,0.9687,8.7399,3.0339,0.0,12.6965,2.62,762.288,60.19,,38.5,885.16,0.04,4324.21,19.9393,5.5288,105.1351,-0.6564,42.8577,18.7472,100.07,1.2323,0.1891,3.4201,28.8025,2.2,283.5747
Albania,2016,17.6022,4.5303,1.5752,1.3456,2.7821,0.955,8.3565,2.9055,0.0,20.2724,2.61,786.071,58.07,,39.4,685.89,0.0,4198.41,19.0618,6.5625,104.9672,-0.0694,43.1277,19.1672,103.09,0.7267,0.1545,4.0595,28.8022,13.1,928.3912
Albania,2017,18.5552,5.3415,1.8589,1.3456,2.7774,0.9428,9.1641,3.1892,0.0,38.8336,2.64,824.3736,62.12,,36.9,877.65,0.01,4399.74,20.3115,6.5565,104.8707,-1.0242,42.857,18.0791,103.88,0.892,0.183,4.0558,28.7921,13.5,1686.8241
Albania,2018,19.0462,5.3056,1.851,1.3456,2.8023,0.9263,9.1528,3.1932,0.0,21.2695,2.53,823.102,60.11,,37.8,723.39,0.0,3854.27,19.6874,5.7572,104.6123,-1.3465,42.8497,17.9156,106.02,1.0635,0.1402,3.5613,28.792,13.5,2048.2932
Albania,2019,15.7047,4.9535,1.7355,1.3456,2.5862,0.946,8.6186,3.0196,0.0,32.2318,2.45,817.1765,59.41,,40.1,841.74,0.01,4082.72,19.9359,6.7969,104.1676,0.3625,42.8467,18.1604,104.0,1.0756,0.1399,4.2045,28.792,14.2,1073.5003
Albania,2020,15.707,4.5608,1.6071,1.3456,2.3959,0.8631,7.9674,2.8075,0.0,36.47,2.34,761.9573,57.07,,44.4,776.43,0.0,4152.69,20.315,4.7236,103.5711,-1.0306,42.5385,18.8061,105.72,0.4984,0.1365,2.9219,28.792,14.2,1116.9702
Armenia,2012,43.2896,5.6692,1.8747,-0.4643,2.2681,0.4012,8.5021,2.8114,0.0,74.3404,4.16,982.4424,77.34,28.8091,6.6,235.82,0.0,7725.12,14.1877,59.3302,106.2206,-0.4054,59.1149,17.9127,88.2,0.9759,0.3395,42.878,11.5962,,197.6782
Armenia,2013,41.0505,5.4924,1.8175,-0.4769,2.4293,0.453,8.5399,2.8259,0.0,73.6823,3.92,959.8017,75.51,28.2387,6.8,168.08,0.0,7823.84,14.689,59.6127,106.1468,-0.6832,59.1149,18.4348,92.49,0.6953,0.2192,43.0821,11.5889,23.3,41.8413
Armenia,2014,38.6392,5.7603,1.9113,-0.4802,2.4862,0.476,8.8962,2.9518,0.0,71.6592,4.12,1045.9751,72.6,25.7659,7.1,286.29,0.0,7436.37,16.1272,57.6962,105.8588,-0.8997,59.0341,18.072,97.4,0.2657,0.2305,41.697,11.5816,23.1,38.1276
Armenia,2015,38.1149,5.6166,1.8693,-0.4789,2.538,0.4846,8.8239,2.9368,0.0,67.6293,4.12,1084.5206,68.89,28.328,10.7,330.28,0.0,7518.49,15.4398,66.0077,105.5357,0.1819,58.8936,17.2231,106.65,0.513,0.2539,47.7037,11.5743,23.1,1.9901
Armenia,2016,35.8609,5.3743,1.796,-0.4857,2.5964,0.4842,8.6555,2.8926,0.0,68.2448,3.93,1043.098,69.08,32.1718,13.2,224.94,0.0,8009.69,13.9415,64.1921,105.1036,1.1197,58.8971,16.3905,95.95,0.2168,0.2168,46.3916,11.5669,23.1,30.0476
Armenia,2017,34.0154,5.6886,1.9093,-0.4706,2.4808,0.4817,8.8681,2.9765,0.0,68.9606,3.86,1105.967,68.99,29.2531,12.6,352.86,0.0,7926.8,15.5668,57.7971,104.6505,-1.6766,58.8725,14.9943,95.24,0.2375,0.2375,41.7699,11.5595,23.1,41.7473
Armenia,2018,34.2014,5.9509,2.0043,-0.4706,2.3294,0.478,8.9951,3.0297,0.0,72.7318,3.51,1072.3368,74.31,30.0282,11.1,312.85,0.0,6894.05,16.3095,54.7509,104.2852,-0.0345,58.9146,13.9423,83.48,0.6814,0.268,39.5685,11.5522,23.1,5.9025
Armenia,2019,32.6618,6.4241,2.1685,-0.4706,2.2909,0.5028,9.4715,3.1971,0.0,74.1708,3.52,1163.0928,73.7,31.2254,10.3,285.56,0.0,7437.64,16.5653,57.7971,104.0569,-1.6376,58.9041,11.5256,81.27,1.1944,0.2499,41.7699,11.5448,24.3,0.7064
Armenia,2020,30.5796,6.9138,2.3346,-0.4706,2.317,0.4915,9.9936,3.3745,0.0,74.1473,4.01,1233.3046,74.13,23.4345,8.4,229.79,0.0,7559.67,16.4365,57.091,104.0218,-0.1426,58.869,11.3498,85.28,1.1162,0.2745,41.2597,11.5374,24.3,18.543
Austria,2012,14.7199,69.0271,8.1883,-5.9173,9.5561,3.4091,83.8313,9.9444,8.5754,65.5206,3.04,3899.1648,66.58,76.0603,34.4,202.99,0.0,7576.21,11.6875,9.4286,102.1569,-0.586,33.1459,1.4177,95.95,0.1687,0.0419,6.204,46.9025,,11165.7592
Austria,2013,14.6599,69.6127,8.2092,-6.3907,9.7016,3.4229,84.6494,9.9824,8.9604,62.8836,3.08,3924.8214,66.1,79.3682,34.6,216.33,0.0,7683.78,12.3768,9.3212,102.7608,0.1777,32.9181,1.2778,96.23,0.1492,0.0405,6.1333,46.9461,24.0,7655.3314
Austria,2014,12.9541,65.929,7.7143,-7.7584,9.5398,3.5205,81.0201,9.4801,7.4391,67.4889,2.95,3750.3448,64.82,82.5402,35.7,111.59,0.0,6842.49,13.9394,9.2137,103.5671,0.7949,32.8914,1.2756,102.03,0.1356,0.0403,6.0626,46.9897,28.3,9876.061
Austria,2015,13.6,67.3691,7.7949,-6.7096,9.137,3.4951,82.1687,9.5073,7.749,62.1474,2.99,3795.5104,65.48,78.1279,34.8,303.85,0.0,7087.62,13.562,9.1063,104.7346,-1.2206,32.9429,1.1436,97.36,0.0923,0.0407,5.9919,47.0333,28.4,7941.0671
Austria,2016,12.5144,67.7825,7.7584,-7.1391,9.1817,3.5191,82.7174,9.4678,5.8104,64.1138,2.96,3797.168,65.65,79.2285,34.6,152.52,0.0,7314.52,12.8142,8.9988,105.8733,1.3329,32.3579,1.1493,100.61,0.0678,0.0348,5.9212,47.077,27.6,17218.0551
Austria,2017,12.1558,70.1063,7.9688,-3.3957,9.3862,3.4341,85.1631,9.6803,5.4876,65.9464,2.95,3839.9481,66.46,77.0242,34.0,229.01,0.0,7474.74,12.5621,8.8913,106.6113,0.3634,32.1694,1.1999,98.48,0.0776,0.0332,5.8505,47.1205,28.4,18402.4732
Austria,2018,12.5862,67.1868,7.5999,4.776,9.384,3.3735,82.2069,9.2989,5.2742,66.5258,2.8,3717.6253,66.24,78.1654,34.1,234.25,0.0,6881.01,13.0632,8.7839,107.1319,-1.2749,32.1477,1.1091,100.51,0.1007,0.045,5.7798,47.164,28.4,26335.0669
Austria,2019,11.4646,68.5332,7.7178,1.989,9.3522,3.4096,83.4574,9.3984,4.5976,74.4763,2.81,3765.9801,67.22,78.1471,34.0,263.23,0.0,7000.78,13.3131,8.6764,107.6093,-0.2886,32.1281,1.0446,99.96,0.077,0.0333,5.7091,47.1037,28.4,33659.5104
Austria,2020,10.9335,62.5998,7.0204,-5.3639,9.2727,3.3356,77.2734,8.666,3.2471,59.7677,2.84,3546.3277,65.35,80.9966,35.8,143.75,0.0,7123.64,13.0636,8.6764,108.057,0.3651,31.5398,1.0714,101.84,0.0421,0.0228,5.7091,47.1379,29.1,25940.4082
Azerbaijan,2012,29.1806,32.2806,3.4726,-3.3693,15.3637,1.9812,50.4513,5.4273,0.0,-326.9996,4.47,1497.2949,98.5,7.9224,2.8,1281.48,0.04,4907.8,24.6243,52.8814,112.4608,-0.7886,57.6871,5.1398,95.38,20.1642,0.0,147.5662,12.7108,,597.632
Azerbaijan,2013,28.234,33.2113,3.5268,-3.3596,15.5829,2.0269,51.6891,5.489,0.0,-326.5281,4.28,1497.9026,98.24,6.9641,2.5,1027.05,0.0,4853.23,23.6278,52.9653,113.9235,-0.8566,57.7045,5.3663,98.45,19.448,0.0,147.8004,12.8205,6.4,149.076
Azerbaijan,2014,26.4192,34.7241,3.6417,-3.3686,15.7258,2.0957,53.5015,5.611,0.0,-312.6997,4.3,1526.1588,98.39,5.9801,2.1,1394.33,0.39,4904.74,25.621,51.1901,115.3488,-1.2809,57.7005,5.3194,94.84,15.0017,0.0,142.8466,12.9297,5.5,328.246
Azerbaijan,2015,25.1867,34.5224,3.5777,-3.3667,15.7458,2.0919,53.3632,5.5302,0.0,-311.3727,4.26,1510.9186,98.06,7.4064,2.3,1356.37,0.28,4976.45,23.8772,51.6185,116.7311,-0.0957,57.7018,6.1776,101.27,9.3086,0.0,144.0419,13.0395,5.5,26.7452
Azerbaijan,2016,24.3528,34.4149,3.5269,-3.366,15.6492,2.0462,53.1283,5.4447,0.0,-307.1574,4.35,1480.9343,98.69,8.7841,1.9,1142.54,0.18,5194.44,23.1289,52.4531,118.0333,0.5128,57.7356,5.6051,103.9,9.9105,0.0,146.3709,13.1544,5.5,25.4752
Azerbaijan,2017,23.2422,34.2297,3.4737,-3.366,15.3757,2.1297,52.8886,5.3672,0.0,-278.2359,4.38,1478.7842,98.92,8.125,1.9,1248.92,0.15,5047.89,24.3764,53.5217,119.2087,-1.7315,57.7956,5.6074,107.73,12.6483,0.0,149.353,13.2731,5.5,80.1011
