Economy,Year,GDP (annual % growth),Individuals using the Internet (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Government Effectiveness: Estimate,Regulatory Quality: Estimate,Economic and Social Rights Performance Score,Voice and Accountability: Estimate,"Patent applications, residents",Research and development expenditure (% of GDP),Scientific and technical journal articles,Control of Corruption: Estimate,Net migration,Political Stability and Absence of Violence/Terrorism: Estimate,Rule of Law: Estimate
Albania,2012,0.9841,49.4,15.7143,74.8204,0.9901,-0.2689,0.2405,4.65,0.0221,,,150.63,-0.7787,-19845.0,-0.1436,-0.5198
Albania,2013,1.7072,51.8,17.8571,71.2649,0.9816,-0.3245,0.2542,4.69,0.0489,,,148.81,-0.7514,-20681.0,0.0919,-0.5188
Albania,2014,2.2402,54.3,20.0,69.4362,0.9767,-0.0498,0.279,4.72,0.1437,10.0,,154.14,-0.5866,-21706.0,0.486,-0.3112
Albania,2015,2.2277,56.9,20.7143,73.3243,0.9824,0.0276,0.1742,4.76,0.1571,14.0,,159.48,-0.5451,-20500.0,0.3416,-0.3197
Albania,2016,3.9089,59.6,22.8571,76.6623,0.9936,0.0291,0.1866,4.8,0.1711,20.0,,165.44,-0.4724,-9347.0,0.3374,-0.3226
Albania,2017,3.2832,62.4,27.8571,74.5097,1.0043,0.0986,0.2206,4.83,0.2039,16.0,,133.42,-0.4814,-14901.0,0.3738,-0.4142
Albania,2018,3.6714,65.4,27.8571,76.119,1.0173,0.0805,0.2561,4.87,0.1888,15.0,,170.56,-0.546,-15032.0,0.3668,-0.4148
Albania,2019,2.0626,68.6,29.5082,77.8337,1.0186,-0.0623,0.2721,4.89,0.142,4.0,,203.1,-0.5643,-23094.0,0.1101,-0.4263
Albania,2020,-3.3138,72.2,29.5082,77.5605,1.024,-0.1551,0.222,4.9,0.0863,,,167.16,-0.5735,-16680.0,0.0886,-0.378
Armenia,2012,7.2,37.5,10.687,80.3435,,-0.0324,0.3343,4.31,-0.5705,137.0,0.2385,548.98,-0.588,-16782.0,0.1548,-0.4183
Armenia,2013,3.3,41.9,10.687,80.3623,1.0291,0.0783,0.2352,4.33,-0.5881,125.0,0.2222,532.37,-0.5305,-16265.0,0.1104,-0.3409
Armenia,2014,3.6,54.6,10.687,80.407,1.0403,-0.2573,0.1585,4.35,-0.5621,121.0,0.2415,540.71,-0.5654,-15745.0,-0.2971,-0.4177
Armenia,2015,3.2,59.1,10.687,80.4574,1.038,-0.3318,0.1892,4.37,-0.5363,113.0,0.25,534.03,-0.6097,-15225.0,-0.2568,-0.4626
Armenia,2016,0.2,64.3,10.687,80.3821,,-0.3126,0.2052,4.4,-0.5791,125.0,0.2331,536.98,-0.6598,-14697.0,-0.668,-0.1609
Armenia,2017,7.5,64.7,18.0952,80.6151,,-0.2516,0.2284,4.4,-0.5607,107.0,0.2279,539.3,-0.637,-14180.0,-0.6262,-0.2094
Armenia,2018,5.2,68.2,18.0952,80.6633,1.0228,-0.1706,0.3506,4.4,-0.131,101.0,0.1888,524.57,-0.4094,-13129.0,-0.4511,-0.1972
Armenia,2019,7.6,66.5,23.4848,82.8334,1.0349,-0.226,0.2426,4.4,0.0548,112.0,0.1785,627.03,-0.227,-14330.0,-0.42,-0.1775
Armenia,2020,-7.2,76.5,23.4848,84.9432,1.0319,-0.3045,0.2387,4.42,0.0473,63.0,0.2092,622.39,-0.0035,-13046.0,-0.7716,-0.1258
Austria,2012,0.6282,80.0,27.8689,82.0402,0.9716,1.5602,1.5172,4.98,1.4488,2258.0,2.9147,12181.72,1.4273,45014.0,1.3406,1.8571
Austria,2013,-0.2507,80.6,33.3333,82.411,0.973,1.5714,1.4822,4.98,1.4565,2162.0,2.9549,12414.79,1.5373,56726.0,1.3641,1.8341
Austria,2014,0.7558,81.0,32.2404,83.0737,0.9723,1.553,1.4822,4.98,1.3913,2092.0,3.0843,12632.76,1.4665,74375.0,1.2707,1.9384
Austria,2015,1.3035,83.9,30.6011,83.1619,0.9728,1.451,1.3904,4.98,1.3837,2205.0,3.0497,13137.08,1.472,115175.0,1.1293,1.8148
Austria,2016,2.1172,84.3,30.6011,83.46,0.972,1.4748,1.4289,4.98,1.3378,2078.0,3.1165,12976.33,1.4969,65976.0,0.8922,1.7615
Austria,2017,2.2722,87.9,34.4262,83.5578,0.9717,1.4678,1.4279,4.98,1.3862,2073.0,3.0566,13072.27,1.5008,45478.0,1.0296,1.8004
Austria,2018,2.4842,87.5,34.4262,83.1199,0.9741,1.4561,1.524,4.98,1.3995,2039.0,3.0918,13121.29,1.5686,35296.0,0.8849,1.8535
Austria,2019,1.755,87.8,39.3443,83.4245,0.9809,1.4921,1.4464,4.98,1.3372,2066.0,3.1326,13708.07,1.5213,41090.0,0.8922,1.8623
Austria,2020,-6.3183,87.5,39.3443,83.9909,0.9859,1.6059,1.3952,4.98,1.3946,2124.0,3.2028,14005.41,1.4777,39601.0,0.8876,1.7706
Azerbaijan,2012,2.2029,54.2,16.0,92.1575,,-0.7908,-0.4887,4.03,-1.2995,144.0,0.2143,679.97,-1.1427,1986.0,-0.7158,-0.8795
Azerbaijan,2013,5.8434,73.0,15.5738,91.6436,,-0.4522,-0.4253,4.24,-1.4029,156.0,0.2097,476.47,-0.9708,2291.0,-0.4129,-0.7563
Azerbaijan,2014,2.7976,75.0,15.5738,91.806,,-0.3136,-0.2685,4.41,-1.4793,168.0,0.2098,391.27,-1.0228,1073.0,-0.5599,-0.697
