Economy,Year,GDP (annual % growth),Individuals using the Internet (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Government Effectiveness: Estimate,Regulatory Quality: Estimate,Economic and Social Rights Performance Score,Voice and Accountability: Estimate,"Patent applications, residents",Research and development expenditure (% of GDP),Scientific and technical journal articles,Control of Corruption: Estimate,Net migration,Political Stability and Absence of Violence/Terrorism: Estimate,Rule of Law: Estimate
Albania,2012,-0.20215725845695112,-1.8862340910245052,-1.1013426422812678,-0.5172541579440703,0.4800697282862144,-1.25909041234312,-0.7964076356196219,0.22510629615584557,-0.7321617184720262,-1.6768079143386225,-1.0675691059233885,-1.917388172983763,-1.371677048752271,-0.4574096941400198,-0.7747160216953113,-1.3299885685164374
Albania,2013,-0.002708932094292599,-1.7158925999739054,-0.8826256682485298,-0.9103210216246088,-0.01851488997730043,-1.329156286223308,-0.7776160176114678,0.30316113343591145,-0.7006834155593377,-1.6768079143386225,-1.0692474279133797,-1.9240335975605867,-1.3444849789643154,-0.46342028922131173,-0.4382683139132403,-1.3288801067218126
Albania,2014,0.1443052539813498,-1.538453546796197,-0.6638984871514819,-1.112487066797608,-0.30593425815274095,-0.9829855028620196,-0.7435990740638602,0.3617022613959595,-0.5893347918234101,-1.6768079143386225,-1.0652421623691302,-1.9047942761259367,-1.1803365137242037,-0.47078973893222587,0.12476371002270109,-1.09876343815767
Albania,2015,0.14085745412028872,-1.3539169314913801,-0.5909894267857991,-0.6826506801638585,0.02841072115338493,-0.8854477575683768,-0.8873480935714924,0.43975709867602536,-0.5735956403670659,-1.5349612278248441,-1.04687283887065,-1.8861706117915067,-1.1390005834604622,-0.46211895224796984,-0.08153373797615684,-1.1081853634119823
Albania,2016,0.6045727442335531,-1.162282754059455,-0.3722724527530614,-0.31362882923835234,0.6853692769829605,-0.883557491186717,-0.8703396217976886,0.5178119359560912,-0.5571517507858107,-1.3810785469027358,-1.051865205340151,-1.8661028082998368,-1.0665880020104854,-0.3819321496861891,-0.08753407926144224,-1.1113999026163948
Albania,2017,0.4319896743882821,-0.9635510145004218,0.13808076274240697,-0.5516025968543635,0.8085490062010054,-0.795975148836482,-0.8237034895146781,0.576353063916141,-0.518626066624013,-1.4777189418525778,-1.0266438374287745,-1.983687741610041,-1.0755524206218994,-0.4218637825587911,-0.03553112145563588,-1.2129350030040413
Albania,2018,0.5390645468733936,-0.7506241506871713,0.13808076274240697,-0.3736916128236812,0.046007825327382984,-0.8187843631751763,-0.7750098808074172,0.654407901196207,-0.5363619761009383,-1.505445090757708,-1.0237895600507159,-1.8494290527227932,-1.1398970253216034,-0.42280563418038114,-0.04553169026444479,-1.2136000800808164
Albania,2019,0.09531891355539467,-0.5235021626197054,0.3066096015633205,-0.18412847088780293,-0.030246292759970143,-0.9987377227091843,-0.7530634656154123,0.693435319836239,-0.5913315498439911,-2.037402100723787,-1.0240974438823867,-1.7538507558172796,-1.158124676498145,-0.48076905229685885,-0.41226683501033706,-1.2263473907190032
Albania,2020,-1.3876211802852876,-0.2679899260438047,0.3066096015633205,-0.21433121794377774,-0.3469941678920914,-1.115682202854534,-0.8217831781853777,0.7129490291562567,-0.6567547391065561,-2.037402100723787,-1.0456069771133383,-1.8604449341277198,-1.1672883044120348,-0.434654271374124,-0.44298286778025014,-1.1728086860386178
Armenia,2012,1.5123370740525899,-2.730843984150397,-1.6144823863333415,0.09333439353785256,-0.6461449388501952,-0.9610584128347666,-0.6677467765564932,-0.4383598207247151,-1.4282080731757256,-0.5200276182429351,-1.173823501849031,-1.2083319531872772,-1.1817309788415349,-0.4353876214916979,-0.3484060599026574,-1.2174796963620036
Armenia,2013,0.43662351740154814,-2.41855125055763,-1.6144823863333415,0.09541276705414946,-0.6461449388501952,-0.8215567538682772,-0.8036773856519737,-0.3993324020846813,-1.4488803915064463,-0.5616327778814351,-1.191079532753648,-1.2252084315757226,-1.1244583043797238,-0.4316705429545832,-0.4118382392042453,-1.1316847534580314
Armenia,2014,0.519370714067013,-1.5171608604148716,-1.6144823863333415,0.10035443174449309,-1.3031034946797773,-1.2444723523249512,-0.9088830134786473,-0.36030498344464923,-1.4183417394269726,-0.5763870055016692,-1.1706475452408192,-1.2166699444238538,-1.159220327661762,-0.42793189529636333,-0.9940142091456208,-1.2168146192852287
Armenia,2015,0.40904111851305996,-1.1977705646949965,-1.6144823863333415,0.1059262415966948,-1.1681923626790625,-1.338355582614052,-0.8667733293289878,-0.3212775648046154,-1.3880380000558026,-0.6074050860913488,-1.1616490015175525,-1.2234983315745622,-1.2033451881601662,-0.4241932476381435,-0.936439505860621,-1.2665845538638896
Armenia,2016,-0.4184308481415875,-0.8286973340853635,-1.6144823863333415,0.09760169235322708,-0.8712679893293463,-1.3141601729288073,-0.844826914136983,-0.2627364368445656,-1.4383093196327823,-0.5616327778814351,-1.179540223743812,-1.2204723499258605,-1.25324711843037,-0.4203970823236433,-1.5239014907437956,-0.9321616304255382
Armenia,2017,1.5950842707180546,-0.8003070855769298,-0.8583226481266357,0.12336025774137695,-0.5735301245457762,-1.2372893400746443,-0.8130046121085757,-0.2627364368445656,-1.4166973504688471,-0.6321322643055953,-1.1850452151980457,-1.218104228025321,-1.2305372579481215,-0.4166800037865286,-1.4641838084283365,-0.9859220274648489
Armenia,2018,0.960689096282825,-0.5518924111281381,-0.8583226481266357,0.12868885367145858,-0.2766057511960601,-1.135214955465018,-0.6453888660796381,-0.2627364368445656,-0.9119873966784663,-0.6582731728312772,-1.2264385163250722,-1.2333157653463034,-1.0038370717305882,-0.4091236216927035,-1.2140267229394168,-0.9723987935704245
Armenia,2019,1.6226666696065426,-0.67255096728898,-0.30820271007976024,0.36859727748614873,-0.9863556195476559,-1.2050287938276512,-0.7935271686256713,-0.2627364368445656,-0.6937534906643803,-0.6114345517308221,-1.2373426340132658,-1.1353008964624365,-0.8221581878726004,-0.41775845984178434,-1.1695956243745658,-0.9505620962163126
Armenia,2020,-2.459528365889718,0.03720524542185345,-0.30820271007976024,0.6018394287991008,-0.8103845778075972,-1.3039527344678445,-0.7988766073287226,-0.22370901820453354,-0.7025627172257669,-0.8714352985129922,-1.2048420113892324,-1.1393818704668084,-0.5995417923558226,-0.4085268760087953,-1.6719099091141671,-0.8932546214342021
Austria,2012,-0.3003230161010808,0.28561991987064517,0.13928519633097636,0.2809076033836591,-0.6050850291108512,1.045900413452775,0.9547791316074214,0.8690587037163885,0.9435880862120242,0.7584354068057626,1.6593415231164008,0.496506432507526,0.8256015575565074,0.008907514445520815,1.3456902963095712,1.3047142711276367
Austria,2013,-0.5427447199320039,0.32820529263329473,0.697040018481664,0.321900204439135,-0.5229652096321566,1.0600144024358342,0.9067713483749105,0.8690587037163885,0.9526322254817142,0.7385748581390719,1.7018993416664383,0.5069353089126307,0.9351666739182327,0.09311336323988786,1.3792636344534297,1.2792196498512627
Austria,2014,-0.2651278751193698,0.3565955411417285,0.5854870126386645,0.3951628708886055,-0.5640251193715007,1.036827134820808,0.9067713483749105,0.8690587037163885,0.8760506825747262,0.7235293766375894,1.8388889367006387,0.5165128650542015,0.8646465808417767,0.2200045027012765,1.245827473490179,1.394832215030646
Austria,2015,-0.11405907640711964,0.5624248428278706,0.41816260740632,0.40491353812995656,-0.5346966124148264,0.9082890208679454,0.7808537912107824,0.8690587037163885,0.8671239996591876,0.7475775200091868,1.8022595704859299,0.5380537310203666,0.870124836659863,0.5133445497308339,1.0438159835522394,1.2578263372150007
Austria,2016,0.11037890334850918,0.5908150913363033,0.41816260740632,0.43786902457719734,-0.5816222235455117,0.9382812474569467,0.8336623527665441,0.8690587037163885,0.8132115331035014,0.720459959803667,1.872977537628778,0.5312787736435038,0.894926394818108,0.15961815331399093,0.7050824314710121,1.1987453235614904
Austria,2017,0.15313162162566604,0.846327327912204,0.8085930243246635,0.4486809889332539,-0.5992193277195164,0.9294600043425344,0.8322907018170437,0.8690587037163885,0.8700604085129834,0.7193587278928928,1.809564270684817,0.535332280353629,0.8988109762163873,0.012243538509778527,0.9013793106610613,1.2418644873724014
Austria,2018,0.21160630726926105,0.8179370794037703,0.8085930243246635,0.4002703632531226,-0.45844249432746675,0.9147159265655883,0.9641063580640233,0.8690587037163885,0.8856821036151755,0.7117991939367916,1.8468288282211682,0.537391928692253,0.9663429297557052,-0.06096205852098011,0.6946532668561114,1.3007238086669868
Austria,2019,0.01047545457440474,0.839229765785095,1.3105866541503157,0.4339444362884451,-0.05957479971665094,0.9600823197254224,0.8576662443827994,0.8690587037163885,0.8125067949785902,0.7178125348041036,1.890021838092848,0.5614659596894778,0.9192299297201636,-0.01930489595996896,0.7050824314710121,1.3104782724596866
Austria,2020,-2.216334354889917,0.8179370794037703,1.3105866541503157,0.4965609660560325,0.23371026985012444,1.1034905292140085,0.7874377157683837,0.8690587037163885,0.8799267422617364,0.7304687817174804,1.964339222725003,0.5732744545385028,0.8758023017804252,-0.030010369735140797,0.6985106291109376,1.2088323258925775
Azerbaijan,2012,0.13401701919594364,-1.545551108923305,-1.0721810595478567,1.3993931553215306,0.908265929853711,-1.9167770954019343,-1.7966155079952466,-0.9847436816851743,-2.284464894942511,-0.4973983399989819,-1.1994428851552725,-1.090763154873173,-1.7342379792583433,-0.30045119985810154,-1.5921910891810906,-1.7287022760430364
Azerbaijan,2013,1.1381542507313582,-0.21120942902693823,-1.1156835676366903,1.3425805941499867,0.908265929853711,-1.4900809641819408,-1.7096528377969273,-0.574955785964829,-2.4059147651354955,-0.46103418249275274,-1.2043126852878638,-1.2861368125951766,-1.5630175837803384,-0.2982583392124149,-1.1594521902970596,-1.592139782945241
Azerbaijan,2014,0.29804954538578327,-0.06925818648477156,-1.1156835676366903,1.360534203673743,0.908265929853711,-1.3154203505165802,-1.494577968915279,-0.24322272752454957,-2.495651419707488,-0.4273496583344108,-1.20420682006759,-1.3943031454838835,-1.6148120024240626,-0.3070154023810914,-1.3694641352820465,-1.526407998523981
Azerbaijan,2015,-0.18411836958387978,0.07269305605739512,-0.9766939729286543,1.398044423571594,0.908265929853711,-1.2463626187066108,-1.6348978610491605,0.049482912275696095,-2.58151201459247,-0.3859798776983139,-1.1909736675333744,-1.3175970968510955,-1.5448895372550344,-0.3070154023810914,-1.6180497028152965,-1.5480230035191676
Azerbaijan,2016,-1.3186100182662899,0.15786380158269533,-0.9905245450685817,1.3591191408541365,0.908265929853711,-1.1211009664819584,-1.668914804596768,0.10802404023574592,-2.591495804695375,-0.4973983399989819,-1.2078062375568968,-1.1660141702557965,-1.4452848860171026,-0.28114683646902405,-1.725198654338249,-1.3517144196910869
Azerbaijan,2017,-0.431229081225846,0.2146442985995618,-0.9905245450685817,1.2981277222934415,0.908265929853711,-1.1362230975352363,-1.6370925025683607,0.12753774955576194,-2.594667126257474,-0.3390318840297006,-1.230778990356295,-1.0501542559443942,-1.4989717930343478,-0.3961462004944596,-1.643765451180805,-1.4021494313465224
Azerbaijan,2018,-0.05974933299568632,0.2714247956164283,-0.9905245450685817,1.3264179235072928,0.908265929853711,-1.1030804269768022,-1.5575367474973432,0.12753774955576194,-2.529478849703213,-0.46395650164711655,-1.2313083164576637,-0.9941332412291367,-1.4458825139245302,-0.584768164558686,-1.5859050173584108,-1.4408347479789338
