Economy,Year,Individuals using the Internet (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Government Effectiveness: Estimate,Economic and Social Rights Performance Score,Voice and Accountability: Estimate,"Patent applications, residents",Research and development expenditure (% of GDP),Net migration,Political Stability and Absence of Violence/Terrorism: Estimate,Rule of Law: Estimate
Albania,2012,-1.7564172721366877,-1.340615844426007,-0.7778800204523705,-1.4054000506797384,-0.16259062085557108,-1.3929541710703102,-1.9167953745623838,-1.4121974596747715,-0.5298040288455058,-1.208372901137472,-1.6124455345524535
Albania,2013,-1.6473032146286992,-1.1011973319906778,-1.2333250068317383,-1.467027637119852,-0.018962732789645307,-1.3611721498003668,-1.9167953745623838,-1.4786915265477487,-0.5517505926328476,-0.9066335320695782,-1.6113357743524035
Albania,2014,-1.5272281589293444,-0.8649755271688395,-1.460244012589425,-1.1572092165706007,0.09542214878584582,-1.2442576712772304,-1.9167953745623838,-1.4037626404784391,-0.5787343971133456,-0.2662107773492736,-1.3796397874986006
Albania,2015,-1.395347476492741,-0.7868823996734026,-0.971812282837191,-1.0672343097002854,0.25733561152670437,-1.2271740966343059,-1.7522015802504838,-1.3718691058277246,-0.5469942172102917,-0.5204234789415438,-1.389180229543823
Albania,2016,-1.25077337093996,-0.5543934908849671,-0.5345731639592006,-1.0654776199226867,0.43061156353289615,-1.2091796916114206,-1.5746122061831882,-1.419270257349727,-0.2601630540765801,-0.5274818487832503,-1.392434096912422
Albania,2017,-1.0925742194826213,-0.02109905485254651,-0.8184275088906287,-0.9835563647596577,0.5684512182633239,-1.1664406719209675,-1.686023031078499,-1.247474407753611,-0.4012831508109104,-0.4656766492326923,-1.4949294307306427
Albania,2018,-0.9136519445929733,-0.02109905485254651,-0.6068619406024683,-1.0049894602353537,0.7633450193176118,-1.1862170818132913,-1.718060153852832,-1.3757595556577091,-0.4046575951644501,-0.47767325511058195,-1.4955990398942056
Albania,2019,-0.7151774336231385,0.1525129855689416,-0.37723131409816385,-1.171619096249612,0.8657710264632711,-1.246415201732312,-2.339111232147371,-1.3706901671972322,-0.6154010549575583,-0.8808010043392666,-1.5084289116698415
Albania,2020,-0.46898629633989164,0.1525129855689416,-0.4141082016462156,-1.2776138038586915,0.9182727627282664,-1.3158789032048401,-2.339111232147371,-1.370532529954496,-0.44726108824671573,-0.9112780334838931,-1.454487962568853
Armenia,2012,-2.2101741348508055,-1.9178571293081714,-0.03332014463130146,-1.1370958479579367,-1.0496346136937953,-1.9799927762828384,-0.5992860939188157,-1.640464147451619,-0.44990689952229934,-0.8157973828452281,-1.4995046486079098
