Economy,Year,Access to clean fuels and technologies for cooking  (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population)
Albania,2012,70.8,66.3809,30.9176,1.719,78.084,11.5099,102.0674,64.417,27.654,13.376,36.94,2.89,11.2,58.02,4.6,29.0,1.8,45.9,14.3
Albania,2013,72.8,68.4598,34.3284,1.741,77.995,12.1239,101.475,59.711,30.978,15.866,40.4818,2.9,10.5,58.44,4.6,,,,
Albania,2014,74.7,70.5633,37.7491,1.721,78.029,10.9182,105.7706,61.319,31.392,18.055,42.0739,2.88,9.9,58.85,4.6,34.6,3.7,46.5,
Albania,2015,76.5,70.592,41.1794,1.631,78.358,11.1776,105.6887,64.087,29.816,17.193,41.1876,2.85,9.6,59.27,4.5,32.8,1.1,32.8,
Albania,2016,78.0,70.6165,44.6181,1.555,78.643,13.597,105.3248,66.179,27.391,15.418,41.3958,2.84,9.4,59.7,4.4,33.7,1.1,32.9,23.7
Albania,2017,79.7,70.6369,48.0646,1.486,78.9,12.3852,105.415,66.919,26.228,13.616,44.1784,2.84,9.3,60.11,4.3,33.1,1.4,32.7,23.4
Albania,2018,80.9,70.6534,51.5183,1.415,79.238,10.8817,104.568,68.305,26.614,12.304,44.5191,2.84,9.3,60.52,4.3,30.1,1.0,24.1,23.0
Albania,2019,82.1,70.6659,54.8133,1.395,79.467,13.4334,102.5895,69.661,25.824,11.466,45.7318,2.85,9.4,60.93,4.3,30.1,0.3,21.5,21.8
Albania,2020,83.4,70.6745,58.037,1.371,77.824,10.2674,100.021,67.153,26.236,11.69,46.2943,2.91,9.4,61.33,5.4,29.4,0.3,19.9,22.0
Armenia,2012,96.8,83.018,12.291,1.6,74.1195,12.369,97.0881,69.795,30.49,17.511,35.1524,4.2,17.0,50.75,2.5,29.6,2.5,59.6,
