Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day)
Albania,2012,71.3,99.9,66.3809,35.0254,1.719,78.084,11.5093,11.627,102.0674,64.417,13.376,2.89,11.2,58.02,4.5,29.0,8.9,1.8,45.9,,3.6
Albania,2013,73.1,99.9,68.4598,37.1873,1.741,77.995,11.8201,11.58,101.475,59.711,15.866,2.9,10.5,58.44,4.4,,,,,,
Albania,2014,75.2,100.0,70.5633,39.3721,1.721,78.029,12.1668,10.9885,105.7706,61.319,18.055,2.88,9.9,58.85,4.5,34.6,7.0,3.7,46.5,,3.8
Albania,2015,76.6,100.0,70.592,41.5802,1.631,78.358,12.5431,10.441,105.6887,64.087,17.193,2.85,9.6,59.27,4.4,32.8,7.7,1.1,32.8,,3.0
Albania,2016,78.3,99.9,70.6165,43.8112,1.555,78.643,12.9202,10.8298,105.3248,66.179,15.418,2.84,9.4,59.7,4.3,33.7,7.3,1.1,32.9,23.7,3.0
Albania,2017,79.6,99.9,70.6369,46.0649,1.486,78.9,13.3054,10.5702,105.415,66.919,13.616,2.84,9.3,60.11,4.3,33.1,7.6,1.4,32.7,23.4,3.0
Albania,2018,80.7,100.0,70.6534,48.3412,1.415,79.238,13.7395,10.9707,104.568,68.305,12.304,2.84,9.3,60.52,4.2,30.1,7.9,1.0,24.1,23.0,2.7
Albania,2019,82.0,100.0,70.6659,50.4837,1.395,79.467,14.2481,11.4002,102.5895,69.661,11.466,2.85,9.4,60.93,4.3,30.1,8.5,0.3,21.5,21.8,2.6
Albania,2020,83.1,100.0,70.6745,52.5809,1.371,77.824,14.767,10.1344,100.021,67.153,11.69,2.91,9.4,61.33,4.4,29.4,8.4,0.3,19.9,22.0,2.5
Armenia,2012,96.8,99.5,83.1929,12.4628,1.6,74.1195,10.6602,,96.4941,69.795,17.511,4.2,17.0,50.75,2.5,29.6,9.0,2.5,59.6,,4.2
Armenia,2013,97.1,99.4,83.169,12.2273,1.6,74.622,10.7084,8.7498,99.3459,69.986,16.576,4.23,16.2,51.26,2.5,30.6,8.6,2.9,57.4,,4.2
Armenia,2014,97.3,99.7,83.1453,11.9838,1.7,74.8732,10.7767,,100.9156,70.215,17.498,4.33,15.4,51.75,2.5,31.5,8.5,3.4,55.2,,4.1
Armenia,2015,97.5,100.0,83.0782,11.7319,1.6,74.8707,10.9238,,102.3827,70.518,18.261,4.35,14.6,52.24,2.5,32.4,8.2,2.9,50.7,,3.9
Armenia,2016,97.6,99.8,82.9347,11.4607,1.6,74.8683,11.1449,,103.0617,70.9,17.617,4.36,14.0,52.71,2.5,32.5,7.9,2.5,45.9,,3.8
Armenia,2017,97.7,99.7,82.7915,11.1677,1.6,75.2171,11.4172,8.8911,101.6198,71.183,17.704,4.37,13.3,53.17,2.5,33.6,8.4,2.4,52.7,,3.9
