Economy,Year,Access to clean fuels and technologies for cooking  (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population)
Albania,2012,51.1705685618729,0.0,22.602100336981817,62.67441860465117,58.39509967192964,32.318959576558214,47.795788480425216,21.754640737466843,13.65978439612644,59.24439986626547,3.0441379568718716,12.244897959183682,22.92646226337081,21.81380968739265,29.233335130574062,67.95580110497238,55.47659912304185,6.244122907820881,85.45454545454547
Albania,2013,54.515050167224075,6.183687249212511,26.424440203376992,65.23255813953489,57.758971903165616,36.820227849214845,46.36980300025033,6.897966915014507,1.5128814178695364,50.919424941491144,9.075536376903656,12.390670553935863,26.40955584821225,20.37100652696668,29.233335130574062,52.46502558366274,42.82888281238603,6.088556309574159,80.10266940451746
Albania,2014,57.69230769230769,12.440547188949154,30.25787458269502,62.90697674418605,58.00198700583951,27.98117384865769,56.709882724489205,11.974365450183114,0.0,43.60080240722167,11.786753674473417,12.099125364431487,29.568167571425533,18.962555822741308,29.233335130574062,37.01657458563537,33.07940311930726,5.934397707280112,74.765415966648
Albania,2015,60.70234113712374,12.525915327893983,34.10206727757462,52.44186046511628,60.353515499360356,29.88284972801783,56.51273854686204,20.712842530622567,5.759181436141063,46.48278167836844,10.277456588338083,11.66180758017493,31.213297095253324,17.51975266231534,31.946313203535396,46.961325966850865,67.91671439587876,14.22495473147741,69.42816252877856
Albania,2016,63.21070234113712,12.59879056845665,37.95567349857059,43.60465116279069,62.39055386000905,47.61960617568141,55.63678291513412,27.317211769162782,14.620866069797188,52.4172517552658,10.632004318602526,11.516034985422742,32.336124349179954,16.04259704568875,34.70907345893755,41.98895027624309,67.91671439587876,14.152976182801098,64.0909090909091
Albania,2017,66.05351170568561,12.65947036059859,41.81802085096034,35.581395348837205,64.22746213610276,38.735832734630435,55.853906295133754,29.653365323904524,18.87082039101041,58.44199264460047,15.370546654019662,11.516034985422742,32.905661615750375,14.634146341463406,37.52347707256189,45.30386740331491,62.14247235627466,14.297146550239162,64.77272727272728
Albania,2018,68.06020066889631,12.708549604242847,45.688436940021276,27.325581395348834,66.64331815680191,27.713590311276633,53.81506480001539,34.02891779265062,17.46025945550886,62.82848545636911,15.95073114826124,11.516034985422742,32.905661615750375,13.225695637238061,37.52347707256189,61.878453038674024,70.02652701393859,21.475724086606604,65.68181818181819
Albania,2019,70.06688963210702,12.745730849427844,49.381004624955025,25.0,68.28009634834063,46.42024544374881,49.05255252363804,38.30976133350171,20.347158779462816,65.63022400534939,18.015860987318362,11.66180758017493,32.336124349179954,11.817244933012717,37.52347707256189,61.878453038674024,88.65469208549408,24.140068140243272,68.4090909090909
Albania,2020,72.2408026755853,12.771311546115157,52.99366940368674,22.20930232558139,56.53674888677642,23.210122721874413,42.86983188584412,30.392094961485043,18.841585967476703,64.88131059846205,18.973752909862796,12.53644314868805,32.336124349179954,10.443146684987994,9.128019504454187,65.74585635359117,88.65469208549408,25.937359810587594,67.95454545454547
Armenia,2012,94.6488294314381,49.48704754142736,1.7280544370767412,48.83720930232559,30.05882394985315,38.617069630368164,35.8099520499143,38.73279454476577,3.296181253425914,45.419592109662325,0.0,31.341107871720126,0.0,46.78804534524218,100.0,64.64088397790056,45.82729606748128,0.0,57.95454545454547
