Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day)
Albania,2012,-2.015001575968004,0.09994449069793106,-2.5887768627858962,-1.7489102179456606,0.44431427316816574,-0.04313846252514506,-1.324548215212164,0.003854326302136334,0.32898177495046876,-1.1615981934548911,-0.659887813691987,-1.083449848448613,-1.3906072833604266,-0.5589140404463715,-2.4791448798176394,0.6097503151857194,0.7758862371274731,-0.7502981678186479,-1.845181831931568,-1.246744744734009,-1.5275885642416624
Albania,2013,-1.862663879197096,0.09994449069793106,-2.376530841952586,-1.6554162280731763,0.5263063089155323,-0.0665487229066066,-1.2435907902651415,-0.014337895849409376,0.20867886069778302,-1.875491843181588,-1.0771918305115276,-1.077981221115001,-1.2677118039613469,-0.6297908209377583,-2.364841449820396,-0.025696162641429862,0.12588292507996543,-1.210804493369287,-1.8503570531818467,-1.246744744734009,-1.5811047158950884
Albania,2014,-1.684936566297702,0.2498612267447957,-2.161773275536276,-1.5609318999019364,0.45179545820527384,-0.05760547736762331,-1.1532821054867226,-0.2432889469693913,1.081017143047255,-1.6315604813540208,-1.4440506629685455,-1.088918475782225,-1.1562651567483015,-0.6989800590364945,-2.4791448798176394,-0.6594064479062107,-0.5223444216340792,-1.5657853420231784,-1.8554854347463783,-1.246744744734009,-1.6333509925204224
Albania,2015,-1.5664516910314408,0.2498612267447957,-2.1588431390227756,-1.4654399349463734,0.10957448049530967,0.028933575053737857,-1.0552631897609681,-0.4552089816070751,1.0643851229978032,-1.2116587341284586,-1.2995863808406567,-1.1053243577830607,-1.0982193487389258,-0.7698568395278825,-2.364841449820396,-0.25146320262666083,-0.04404891577455995,-0.2973506448817226,-1.5796841549611889,-1.246744744734009,-1.1802742709048148
Albania,2016,-1.4225771996366936,0.09994449069793106,-2.1563418029746653,-1.3689576316920544,-0.18865560574214416,0.10389901560111493,-0.9570358894150157,-0.30471672687258833,0.99048534160592,-0.8943052459796597,-1.0021106258789356,-1.110792985116673,-1.0586021549161113,-0.8424211624119223,-2.2484013838375176,-0.4554348252664366,-0.3173606334085711,-0.2973506448817226,-1.582078659429835,-1.246744744734009,-1.1802742709048148
Albania,2017,-1.3125555297465934,0.09994449069793106,-2.1542590578570557,-1.2714936393817637,-0.4672028068321409,0.17149943041050622,-0.8566986947895555,-0.4051997241181462,1.0088029021487852,-0.7820482759843874,-0.7001098876023042,-1.110792985116673,-1.038506928156938,-0.9116104005106574,-2.2484013838375176,-0.3194537435065866,-0.11237684518306305,-0.5075921556165744,-1.5772825556541217,-1.1967682005695166,-1.1802742709048148
Albania,2018,-1.2194602706088153,0.2498612267447957,-2.1525744846001644,-1.1730522826368932,-0.7620135540934184,0.26040581253335987,-0.7436239902544775,-0.2501787672735934,0.8367965409536066,-0.5717940051554014,-0.4802292168925704,-1.110792985116673,-1.038506928156938,-0.9807996386093937,-2.1297432789652504,0.3604516652926615,0.09260694304244564,-0.22053187124078144,-1.3384734061857781,-1.130132808350194,-0.9865365679017908
Albania,2019,-1.1094386007187151,0.2498612267447957,-2.151298292738885,-1.0803972693144468,-0.846624529792336,0.3206412016047616,-0.6111434679634362,-0.08393282229298131,0.43500836430111917,-0.36609069256946936,-0.3397871421557128,-1.1053243577830607,-1.0586021549161113,-1.0499888767081287,-2.2484013838375176,0.3604516652926615,0.5025745194934619,0.45772400026587107,-1.249838891323105,-0.930226631692226,-0.9184489669670819
Albania,2020,-1.0163433415809382,0.2498612267447957,-2.150420272738324,-0.9897013094825517,-0.9490953366155803,-0.11152798723503508,-0.47597999368734323,-0.5738842010041787,-0.08659534140113788,-0.7465508016885835,-0.37732774447200884,-1.072512593781389,-1.0586021549161113,-1.1174905724142121,-2.364841449820396,0.5190962606791534,0.43424659008495936,0.45772400026587107,-1.1900485369016278,-0.9635443278018871,-0.8484431552268294
Armenia,2012,0.14311579495319832,-0.49972245348957006,-0.8723498570378541,-2.7246572441249057,-0.011018308412570958,-1.0859471960341978,-1.5457224414750872,-1.1098193242175798,-0.8028282048005108,-0.3457630790838388,-1.3528806287718265,-0.3670596677454491,-2.1995314486610567,0.6679292790116977,0.33643414466842625,0.47376923342586946,0.8442141665359755,-1.1016315615394578,-2.0529045560002515,-1.6965336422144375,-1.832260480897305
