Economy,Year,Access to clean fuels and technologies for cooking  (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population)
Albania,2012,-2.3760343158248043,-1.8560253457875129,-1.9075848654071088,0.8524581545489016,-0.3954934374165076,0.10255590913125162,0.4396153523022324,-1.2028384599844193,-1.7675157507321686,-0.8129946897725873,-2.131927004905121,-1.2085747704906686,-1.6457404459491558,-0.692350019901739,-2.7086150049644373,0.5664026284687934,-1.1136746345118025,-1.6610726130457378,0.5731138848734031
Albania,2013,-2.3653559535588564,-1.8337989546440228,-1.8591938985707612,0.9679889971235086,-0.42072565767058906,0.33569465120289643,0.32228380542748264,-1.989594751155103,-2.012044995553011,-1.0942744027425595,-2.1150160584697653,-1.2007832890103851,-1.5752940267408926,-0.7884460855898238,-2.7086150049644373,-0.13415274391863088,-1.4088908450311661,-1.663720388536877,0.07203652648911474
Albania,2014,-2.3509651927857633,-1.8048043123448945,-1.8021583661507103,0.8630074881700932,-0.4111109537101546,-0.13997386669433926,1.1368409018540229,-1.7170227895835342,-2.0406800062380612,-1.3072039721000333,-2.1049721750973087,-1.2163798790853595,-1.5070468513159432,-0.8840616089048962,-2.7086150049644373,-0.7986222525160157,-1.5757232397211274,-1.6663388486596318,-0.346823414348007
Albania,2015,-2.332125595351396,-1.8043563270786362,-1.7358642462491356,0.37916888927712006,-0.316493783057556,-0.03134735862141015,1.1220658615346908,-1.2569473889649807,-1.9296199640297673,-1.2266256832347548,-2.1107735847482916,-1.2398775600787832,-1.4697646503049422,-0.9838833184758962,-2.7086150049644373,-0.3745559113460094,-0.7035542345651358,-1.517687542780157,-0.7054133216196831
Albania,2016,-2.311326795217461,-1.8039726992606147,-1.6597284406038832,-0.04371711101638306,-0.23217399932585062,0.830444759142271,1.056076846876711,-0.9164993073970249,-1.7469555217823667,-1.047072614675927,-2.109459407096124,-1.2477377717158211,-1.4436087858539361,-1.0880706539392324,-2.708483121869444,-0.5882021125110984,-0.7035542345651358,-1.519049294771235,-1.0174908174083694
Albania,2017,-2.280482574824505,-1.8036524239686307,-1.5731716722839826,-0.43877211289170326,-0.15421855214737876,0.4297311326466465,1.0724855367441593,-0.7975057540107846,-1.6536608083109816,-0.8422838231960939,-2.088856240592851,-1.2477377717158211,-1.4301164497310999,-1.1893088609572433,-2.7083512387744513,-0.4461380509430546,-0.9114189738900096,-1.5163204574898757,-0.9798487884611077
Albania,2018,-2.252888407289793,-1.803392813956437,-1.475627535046913,-0.8561285644969345,-0.04885657868401621,-0.15556017509274647,0.9170378739262648,-0.5765836397597264,-1.6850659079316492,-0.6754860390648052,-2.0859087775715874,-1.2477377717158211,-1.4301164497310999,-1.2924207895100994,-2.7083512387744513,0.2871629504292025,-0.6189715378621087,-1.3736731210103568,-0.9286995285370964
Albania,2019,-2.2193802331865538,-1.8031958034402242,-1.3720193706195545,-0.9756552114530632,0.02439950931812353,0.7794782015012943,0.5416506210538207,-0.3628394446359957,-1.6203041734425965,-0.5595102010593368,-2.0745763757255977,-1.2398775600787832,-1.4436087858539361,-1.3974282838672674,-2.7083512387744513,0.2871629504292025,0.3854498849599905,-1.317198720475908,-0.7682506474720376
Albania,2020,-2.1750631705786323,-1.803060091658765,-1.2602680881930166,-1.1202151201350525,-0.46862453658495995,-0.4298145110850672,0.027077013379083976,-0.7600301883201067,-1.6543162590680092,-0.5913056947400388,-2.068849473771204,-1.1930053760025956,-1.4436087858539361,-1.5017223816020497,-2.70874688805943,0.46417676593034857,0.3854498849599905,-1.277966820980807,-0.7957555309404961
Armenia,2012,-0.5739982299375468,-1.3856228690576124,-2.048023970105696,0.20824138576220855,-1.3373110032936733,0.42398602195697194,-0.6014802808340871,-0.34184315079333866,-1.9778051854287744,-1.2568159652427202,-2.138140832718387,-0.2858749581803467,-2.0052793337839625,0.6969111566149875,0.3861537021392478,0.4133595834735434,-1.3479027609862837,-1.7631971326198552,-1.3312157872339654
Armenia,2013,-0.4925798496631183,-1.3895587895690942,-2.048793796061295,0.20824138576220855,-1.23674123986507,-0.04818829739104383,-0.8754263646001307,-0.31195426171224533,-1.9826789856181903,-1.1664125023971625,-2.1375186934893615,-0.26670660243289473,-1.971215868727495,0.6151394634936425,0.3861537021392478,0.1621508213726628,-1.4409430713007054,-1.7489751473603445,-1.3312157872339654
Armenia,2014,-0.4077931840900949,-1.3934510334162868,-2.049558399299259,0.7517771521184472,-1.1845981486997341,-0.8776466544509793,-1.2155500320930621,-0.27617855547757575,-1.9658220347823963,-1.2555926307422394,-2.137012001196413,-0.20334684441521564,-1.9335259860402843,0.5344927087977771,0.3861537021392478,-0.05997978503176005,-1.5314604735066195,-1.73402711978613,-1.3312157872339654
Armenia,2015,-0.34933422909959305,-1.3973060206720769,-2.0503168526194036,0.20824138576220855,-1.1851233533007373,-0.2534784039524892,-1.5374602374098758,-0.22894160731278465,-1.9608393935550588,-1.3258861112992322,-2.1355914781691743,-0.19077205874153086,-1.8916169726460126,0.45177206611375964,0.3861537021392478,-0.2785309305571988,-1.4409430713007054,-1.7008953399761015,-1.3312157872339654
Armenia,2016,-0.28928211239902035,-1.401130011270662,-2.0510675918932377,0.20824138576220855,-1.1856274304133574,-0.4626690934714895,-1.5318703655494836,-0.16954914650450004,-1.91387873688716,-1.266756842067362,-2.134569252205796,-0.18449664612403585,-1.856985153455667,0.37044808108191624,0.3861537021392478,-0.3026001357342436,-1.3479027609862837,-1.6610726130457378,-1.3312157872339654
Armenia,2017,-0.19612887520180283,-1.4049349518160377,-2.0518090222809375,0.20824138576220855,-1.111130677532061,-0.3672170778644389,-1.5347756981455023,-0.1256635185644759,-1.9092875053585687,-1.274870942672376,-2.133872829783387,-0.17822918696079995,-1.8125739312279558,0.2889483457629721,0.3861537021392478,-0.5646253901136011,-1.3208755106047834,-1.7160730613995356,-1.3312157872339654
Armenia,2018,-0.16423722922114573,-1.4115296111430882,-2.052169025682689,0.20824138576220855,-1.022024806834243,-1.2640590924072115,-1.7753297107807173,-0.08759427370189464,-1.908265927895378,-1.388249651084334,-2.1329928985817577,-0.23492475866225862,-1.7705663413440187,0.2073686590629036,0.3861537021392478,-0.7521343052780695,-1.4409430713007054,-1.7168122871599711,-1.3312157872339654
