Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heating Degree Days,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Standardised Precipitation-Evapotranspiration Index,"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss,Score
Albania,2012,58.15144916967058,29.46013765405683,99.86930055212795,100.0,16.78195924986286,76.71101402672247,100.0,23.350226661821587,61.76633833101657,46.25,34.86199090463299,75.79071322618933,90.24350110155986,59.72545556715099,96.99624356584944,46.67881733495341,48.40862991839935,42.24558781478213,66.21372014427828,38.46697627193587,12.177121771217712,33.953722885737534,58.237665181046694
Albania,2013,62.20203988081596,41.23849446087489,99.16486140198312,100.0,12.802343496081104,71.53629328770353,94.90177244435743,24.226592238088976,63.0476875087713,47.75,53.44972357876494,80.28249886503286,90.46960273759716,80.4367022557598,99.44822929212744,47.85338193600646,44.40153466637935,48.5156751420124,66.61539370545134,38.5379407473924,12.177121771217712,40.03018321748171,61.50205335176663
Albania,2014,62.30517992207198,41.86081367602476,98.0328189400995,100.0,11.62895430187364,71.92603293325759,94.2201790043428,20.998497511745438,62.313139761758336,44.625,64.98350876957284,81.93470758694897,90.69555201404148,39.17877498595166,100.0,50.28351559335764,41.384328731467576,46.95932047260105,67.02482285850691,38.60876875270381,1.2915129151291511,47.34829962697289,59.153612309013134
Albania,2015,62.94667972412643,41.612723874747815,98.06832390822224,100.0,18.54714627305685,75.1575883490761,95.73045670219815,29.94468111426384,63.02342576971432,44.5,40.54021374784204,78.4549975316653,92.11462926340232,74.22734205667496,99.13128050202776,56.82462535439447,61.86669982791364,40.74620401259836,69.7798499800787,38.67973322816034,2.0295202952029525,58.06822141758455,61.46600071712715
Albania,2016,66.90402767070198,41.234967547428376,98.55407303732136,100.0,14.647776667845417,75.29684464655782,94.36463948611518,60.454083907397234,66.0805235171763,45.625,53.92598762653913,79.92316068217069,90.53968815038502,97.78839206871638,99.87629212045788,62.9404617253949,74.06375119090394,50.8487463766075,66.74170799302782,38.67932381772501,22.14022140221402,48.36889215716167,66.84759831801621
Albania,2017,64.42189485966705,41.234967547428376,96.71296034249428,100.0,9.0919244293652,74.88022610783308,92.46124152972445,60.454083907397234,64.95995842030379,42.5,41.04469089858733,77.57351611069811,90.54882972596604,59.464558079794486,97.91289235221797,64.54029971648438,69.72186943395353,42.50576495455516,66.75815884940586,38.66554033306904,22.878228782287824,43.47908129181658,62.654245767748144
Albania,2018,63.14306252995229,41.234967547428376,96.44178471639762,100.0,14.242069719237309,76.42498416951096,92.11113060100442,60.454083907397234,64.95064422933623,43.625,51.4069605755473,83.93948553602543,91.76663995295137,46.52805651440956,97.60822582035084,68.87403807209395,65.60098464005647,55.11279607771769,69.07273184235463,38.66540386292393,22.878228782287824,41.88875845011191,63.745402669694485
Albania,2019,71.84615464755277,41.234967547428376,97.21157359047848,100.0,10.696801707188396,77.57898586377101,91.99014321155042,60.454083907397234,66.10857347547149,46.5,43.45691120261711,81.2733339324248,90.18255726435304,86.02392229268683,98.06341655154984,64.78331308221951,65.32331009647726,55.2028233054713,66.10631007480657,38.66540386292393,24.16974169741697,47.179918431465424,65.62067930033875
Albania,2020,71.84016419061113,41.234967547428376,98.30348000144078,100.0,9.63369427148318,79.21021050431094,93.83799285577707,60.454083907397234,64.95744969145952,51.875,47.84404871462447,80.45674112128918,93.34142870637564,59.207674399935776,99.23670953507926,68.26650465775617,80.7988675439703,56.224791023141584,72.4690072746696,38.66540386292393,24.16974169741697,46.85490390421808,65.76219856310644
Armenia,2012,0.0,55.81546679383701,100.0,100.0,3.44745657120874,57.31354659914591,89.5849931488955,10.636031884707862,25.649119032225386,4.625,84.15901442226955,38.76429212478686,10.143035185924404,84.3019988761339,97.60279821196212,32.786553260429315,67.66119098305843,0.0,18.16606900544889,15.198270650321184,40.959409594095945,61.01284307208238,45.06574097422903
Armenia,2013,5.831840060008744,55.91670968612682,99.91561138011411,100.0,3.525160481271492,59.71119590191901,90.29983321421196,11.817340724647764,25.053346883737746,4.875,88.70938488718117,37.61216918187833,9.712619335651226,73.15164164726659,98.56678438532671,41.47428108545967,74.935351168427,32.19386240544942,18.061711520300875,15.188308329728248,40.959409594095945,73.58582760146402,47.159860002083455
Armenia,2014,12.112183026691383,55.94308295775679,99.26571609404184,100.0,3.768394733429659,57.705308260623696,87.66365433570002,15.365132994693605,22.470553460209963,5.25,80.768739881908,42.13418170911463,12.632590935823089,64.46174841454604,97.8997165028779,51.41757796678817,88.81430403924317,29.037585221391996,18.77961888241778,15.178346009135312,40.59040590405905,74.32892561469819,47.20871282189851
Armenia,2015,13.477746754735064,55.93270051280438,99.34187167784128,100.0,4.273765878193807,57.705308260623696,86.55401200336061,19.55322236053017,25.146619066171027,9.75,77.81375321595787,41.17579094663846,0.0,93.27285863369993,96.28793151196702,70.14985824220332,80.33835316955094,22.59272215748409,15.826405784562183,15.168383688542376,40.59040590405905,95.40312564790428,48.66230808894172
Armenia,2016,19.348394557539635,55.98690802409929,99.5636490874194,100.0,4.194688288088543,59.60898039586118,87.74811144429307,60.454083907397234,29.16139638797468,12.875,84.88986813733064,35.443185703965554,2.76624077081766,55.63137191940274,94.63243983043756,48.48116646415551,90.68555122132308,32.86798768371804,16.44076442181995,15.158284897804332,40.59040590405905,76.22453557836197,49.505816728369375
Armenia,2017,24.1550851165795,55.866196670583776,99.14633707078866,100.0,4.103603759901205,60.32888609860044,85.95355584770405,60.454083907397234,26.112868741076216,12.125,76.29696306098732,36.41056283866659,12.325281636707686,33.278477964196824,91.66979509654128,47.043337383556064,89.88441129804679,27.096875579530234,18.702961276971592,15.148186107066287,40.59040590405905,73.6038288686772,47.90289060056613
