Economy,Year,GDP (annual % growth),Individuals using the Internet (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Government Effectiveness: Estimate,Regulatory Quality: Estimate,Economic and Social Rights Performance Score,Voice and Accountability: Estimate,"Patent applications, residents",Research and development expenditure (% of GDP),Scientific and technical journal articles,Control of Corruption: Estimate,Net migration,Political Stability and Absence of Violence/Terrorism: Estimate,Rule of Law: Estimate,Score,CPI
Albania,2012,40.80656271526082,22.685185185185183,18.031872939858648,55.374089274761005,89.92878942014241,24.55264759586123,44.005475020220246,83.65384615384616,48.08629088378567,13.408057319474263,7.637807620644683,1.7878412598884663,11.12944268896284,16.191592848367208,51.562929187496565,17.61370716510903,29.71661690388728,33
Albania,2013,42.61782203018348,26.38888888888888,23.537058779702644,49.4638294759974,81.28179043743646,22.860620815581257,44.43165557145524,85.57692307692307,48.89715893618952,13.408057319474263,7.616984968977332,1.6086400298639774,11.892844159838932,16.132968309088767,58.031643135746855,17.64485981308411,30.37039129503604,31
Albania,2014,43.9529087607239,30.246913580246904,29.04250153507025,46.42400607731959,76.29704984740593,31.22032866707243,45.20313569339887,87.01923076923075,51.76545339021512,13.408057319474263,8.023487109270393,2.127449629772755,16.50121640893711,16.06109013593039,68.85678184914575,24.11214953271028,33.416218661929044,33
Albania,2015,43.921598096311605,34.259259259259245,30.8776491201928,52.88714237982913,82.09562563580882,33.57577601947657,41.94301001679836,88.94230769230765,52.17088741641705,16.60872654042851,8.362609256436242,2.629657354457848,17.66169849836414,16.14566094259283,64.89040268087678,23.84735202492212,34.50684996712734,36
Albania,2016,48.13275721710815,38.42592592592592,36.38283496003679,58.435854855788335,93.4893184130214,33.621424223980526,42.328750077770174,90.86538461538458,52.59447520498623,20.08097938305993,8.163386599184479,3.170807890142044,19.69463941164956,16.927765591602945,64.7750370817997,23.7570093457944,36.43414809866945,39
Albania,2017,46.56547059928612,42.7469135802469,49.228611140370944,54.85761684627671,95.62563580874875,35.736457699330494,43.38642443849935,92.30769230769228,53.5868808810626,17.90035785978751,8.844700877452947,0.0,19.442968597075023,16.538291080655025,65.77487227380102,20.90342679127725,37.43985984931892,38
Albania,2018,47.53785459327447,47.37654320987655,49.228611140370944,57.53273457772103,82.40081383519829,35.18563603164942,44.49076090337834,94.2307692307692,53.13001119482013,17.274737102635566,8.887728279639408,3.620434166686451,17.636531416906685,16.52910469950015,65.58259627533923,20.88473520249221,37.5543341125309,36
Albania,2019,43.50804684075396,52.3148148148148,53.47054335064088,60.38305731065307,81.0783316378434,30.839926962872795,44.98849001430971,95.19230769230764,51.714017730174575,5.271506921408218,8.97546795196819,6.197808745407599,17.124800760605126,15.9637565707169,58.53156073174751,20.52647975077881,36.91351942143968,35
Albania,2020,30.040954349051287,57.87037037037037,53.47054335064088,59.928920627479926,75.5849440488301,28.01582471089471,43.429975735705845,95.6730769230769,50.02874345708148,5.271506921408218,8.90674263542922,3.323378730311262,16.867537261262267,16.413538622070877,57.94099873647201,22.03115264797508,36.32128274997044,36
Armenia,2012,56.37647942889348,4.32098765432098,5.115958821579877,64.55506407283474,70.39674465920663,31.749847839318324,46.92341193305544,67.30769230769226,30.15642491906448,39.50997890902201,4.729670329670329,20.90832713331013,16.46206761555885,16.40638586727853,59.75938032192496,20.77570093457944,29.635323131257763,34
Armenia,2013,46.607552132256245,11.111111111111107,5.115958821579877,64.5863150598174,70.39674465920663,35.11868533171029,43.84060225222423,68.26923076923075,29.62391455629179,38.57118818249418,4.252014652014653,20.453234211747457,18.069964486451724,16.442640516569146,58.53980113168159,23.186915887850468,30.19785480831412,36
