Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day),Score
Albania,2012,51.520270270270274,98.11320754716984,0.7155640345644372,27.19092613153647,36.87082758535337,58.39509967192964,32.941448974057664,50.57514412119588,47.795788480425216,29.53201410212671,59.24439986626547,10.000000000000004,44.08280769950029,28.495130380144506,51.5706861694118,71.84466019417474,74.1935483870968,65.51476551537334,10.34083037292993,22.183098591549296,29.68014800884129,38.2094875915825
Albania,2013,54.56081081081081,98.11320754716984,6.855003041811614,29.620431262726832,38.08786082840385,57.758971903165616,34.69730181686704,50.32309961120794,46.36980300025033,16.152052769248257,50.91942494149114,10.119047619047617,46.60980749091711,27.175620483820296,53.53676015813943,58.233833158460925,58.85000661930189,55.71858072092461,10.19206133089115,22.183098591549296,28.40713173316716,36.191769108861806
Albania,2014,58.10810810810811,100.0,13.06709114212643,32.07567101046016,36.98187313757779,58.00198700583951,36.65597035162253,47.15109263976405,56.709882724489205,20.723871261230528,43.60080240722167,9.880952380952383,48.90139425748109,25.887527489789505,51.5706861694118,44.66019417475727,43.548387096774206,48.16720129579798,10.044638761754882,22.183098591549296,27.16432262913912,35.04003338085115
Albania,2015,60.47297297297297,100.0,13.15184841737198,34.55709488768918,31.90218091447491,60.35351549936036,38.781862966645576,44.21504223086205,56.51273854686204,28.593767769816907,46.48278167836844,9.523809523809527,50.09494299865156,24.56801759346527,53.53676015813943,53.39805825242718,54.838709677419374,75.15015463097846,17.972935969241703,22.183098591549296,37.94189207174352,39.667466662957075
Albania,2016,63.34459459459458,98.11320754716984,13.2242021889231,37.06425338146118,27.475459151557143,62.39055386000905,40.91227515140558,46.30004021986863,55.63678291513412,34.54168088252018,52.4172517552658,9.404761904761909,50.90955913438161,23.21709079484762,55.53958531378163,49.02912621359221,48.38709677419355,75.15015463097846,17.904102557348665,22.183098591549296,37.94189207174352,40.00020990295648
Albania,2017,65.54054054054052,98.11320754716984,13.284447778296226,39.5969217352998,23.34089656392084,64.22746213610276,43.08844797975233,44.90789650087144,55.85390629513376,36.64562720345728,58.44199264460047,9.404761904761909,51.32276093868887,21.92899780081683,55.53958531378163,51.9417475728155,53.22580645161291,70.67776288226575,18.04197333228278,23.239436619718305,37.94189207174352,41.00044299805733
Albania,2018,67.39864864864865,100.0,13.333175828524531,42.15498757096685,18.96492911104468,66.64331815680191,45.540879508270805,47.05563748491756,53.81506480001539,40.58626179915845,62.82848545636911,9.404761904761909,51.32276093868887,20.64090480678604,57.580561805446905,66.50485436893203,58.06451612903227,76.78429266669332,24.906879522445596,24.647887323943664,42.55043064401926,44.157012990114964
Albania,2019,69.59459459459458,100.0,13.370091018091388,44.56269132395049,17.70902212917872,68.28009634834063,48.414195968543794,49.35889529427538,49.05255252363804,44.44160127374048,65.63022400534939,9.523809523809527,50.90955913438161,19.35281181275528,55.53958531378163,66.50485436893203,67.74193548387098,91.21258493228656,27.45480380046199,28.873239436619716,44.17006549225746,46.56541406233962
Albania,2020,71.45270270270268,100.0,13.395488668513394,46.91948773503908,16.188016128908743,56.53674888677642,51.34570188918015,42.57085400187693,42.86983188584412,37.31092914818606,64.88131059846205,10.238095238095244,50.90955913438161,18.0961357210179,53.53676015813943,69.9029126213592,66.12903225806454,91.21258493228656,29.173561959828238,28.16901408450704,45.83532980936042,45.71823200213342
Armenia,2012,94.59459459459458,90.56603773584902,50.3650173944373,1.8354737641765144,30.112184707705808,30.05882394985315,28.144490644490645,35.14572999061537,34.38011515723392,44.82258614807233,45.419592109662325,25.595238095238106,27.449557990219176,51.33521834747094,100.0,68.93203883495144,75.80645161290323,58.04097708209936,4.369547373634234,12.676056338028175,22.43276013321035,40.20236086216489
Armenia,2013,95.10135135135135,88.67924528301887,50.29443555198543,1.5708230132651266,30.112184707705808,33.65044421731261,28.416794721142544,35.14572999061537,41.24477652178936,45.36563175253045,48.5456369107322,25.95238095238096,29.39380433736649,49.7329563305058,100.0,64.07766990291259,69.35483870967741,54.41655938127834,5.231161587462665,12.676056338028175,22.43276013321035,40.002160959133796
Armenia,2014,95.4391891891892,94.33962264150956,50.22444435256665,1.297182003299426,35.81180241521216,35.4458969758914,28.802652987435597,35.33503591020371,45.023252903002174,46.01671784373934,45.463055834169175,27.14285714285715,31.43066805488303,48.193528118127546,100.0,59.70873786407765,67.74193548387098,50.37634376870977,6.125864955192199,12.676056338028175,23.58062093720666,40.04397776650626
Armenia,2015,95.77702702702705,100.0,50.02628361497162,1.0141012213266922,30.112184707705808,35.428028218341865,29.633688872819302,35.52434182979205,48.554757457297455,46.87819856704198,42.91206954195922,27.380952380952383,33.56941640439558,46.65409990574929,100.0,55.33980582524271,62.903225806451616,54.41655938127834,8.070466841691925,12.676056338028175,25.945455241254592,40.027809434296515
Armenia,2016,95.94594594594594,96.22641509433949,49.60249723874384,0.7093314393854246,30.112184707705808,35.410874211094324,30.88278495887192,35.71364774938039,50.18920063933447,47.96428977595815,45.06519558676028,27.50000000000001,35.246731543108595,45.177505497957895,100.0,54.85436893203882,58.06451612903227,58.04097708209936,10.34083037292993,12.676056338028175,27.16432262913912,40.276438513506534
Armenia,2017,96.11486486486488,94.33962264150956,49.17959682706564,0.3800632015211516,30.112184707705808,37.90392326440758,32.42113350809002,35.903472315323775,46.71835583200138,48.76890708518141,44.77432296890672,27.619047619047624,37.29054965596579,43.73232799245994,100.0,49.51456310679609,66.12903225806454,59.01186204165329,7.186106686601974,12.676056338028175,25.945455241254592,40.38170702548138
Armenia,2018,96.28378378378378,98.11320754716984,49.67662293939412,0.1092316475099224,30.112184707705808,40.78007847958315,34.08490011750881,36.42633060732002,42.96683933832733,49.46832707835779,40.55499832831829,26.54761904761905,39.12366115661004,42.31856738925544,100.0,45.63106796116503,61.29032258064515,54.41655938127834,7.142757663902685,12.676056338028175,25.945455241254592,39.83795995640939
