,0,1
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",46.030308282803965,63.90648711562701
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),48.75707493141931,69.18504889313114
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),73.9228440787859,72.19792977905581
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),50.0999461139216,46.63716149697021
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),54.792950412699234,75.58463091712194
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),54.33225761940973,76.19652786160322
Total greenhouse gas emissions excluding LULUCF (Mt CO2e),47.824284226143746,67.57925516054345
Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),70.58189585401048,68.56658178984532
Electricity production from coal sources (% of total),69.49545438558731,86.95838453992988
"Energy imports, net (% of energy use)",23.436540115033736,28.526929603840806
Energy intensity level of primary energy (MJ/$2017 PPP GDP),79.55009127026737,79.02378826865515
Energy use (kg of oil equivalent per capita),61.38406165338347,52.87354798135149
Fossil fuel energy consumption (% of total),21.289148450858466,46.7688038758582
Renewable electricity output (% of total electricity output),22.178976988061013,64.45029107139004
Renewable energy consumption (% of total final energy consumption),15.621403386981859,44.674749171349696
Cooling Degree Days,23.521101370180922,41.353265096379566
Heat Index 35,98.54477611940298,99.83046856604662
Heating Degree Days,37.22493073075162,25.023909868769653
Land Surface Temperature,37.51362641382042,56.037548601083856
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,28.301726583251995,6.055639637613573
Population density (people per sq. km of land area),45.62383578432457,58.19396231299138
Standardised Precipitation-Evapotranspiration Index,63.05997080637951,63.075773500479855
Agricultural land (% of land area),39.368456584754,66.67475578536013
"Agriculture, forestry, and fishing, value added (% of GDP)",79.11003815113973,80.16041646489326
Food production index (2014-2016 = 100),55.1541455900414,54.579895666540125
"Adjusted savings, natural resources depletion (% of GNI)",86.4593972813086,90.16544285277541
"Adjusted savings, net forest depletion (% of GNI)",95.71573244901369,84.62776963813468
"Annual freshwater withdrawals, total (% of internal resources)",41.129175168113,75.3109566426666
Forest area (% of land area),34.920305101618624,58.51470755190022
Terrestrial and marine protected areas (% of total territorial area),27.332258850935887,32.08764423013234
Tree Cover Loss,44.54708516509094,41.89054043484227
