,PCA1,PCA2
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0.23639095569665533,0.08717461606603066
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),0.08881276105207776,-0.3911798659301864
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),-0.07131882792766275,-0.16991801698395648
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),0.02747210813435413,0.1553639759890833
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),0.09761898171314243,-0.35930301538248244
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),0.08724005588611901,-0.42583366467201894
Total greenhouse gas emissions excluding LULUCF (Mt CO2e),0.0860192425691231,-0.37948482051892485
Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),-0.09505976042649071,-0.20122901668355517
Electricity production from coal sources (% of total),0.13383836186196002,-0.16298927840995373
"Energy imports, net (% of energy use)",0.15489982902541935,0.14364468106889325
Energy intensity level of primary energy (MJ/$2017 PPP GDP),-0.09066667300852534,-0.05984486243868953
Energy use (kg of oil equivalent per capita),-0.17693676693190766,-0.1551129973732033
Fossil fuel energy consumption (% of total),0.2646143668529344,-0.06264311426328402
Renewable electricity output (% of total electricity output),0.34905202186854295,-0.13888956453011678
Renewable energy consumption (% of total final energy consumption),0.28848712548049066,-0.1069627007948398
Cooling Degree Days,0.27151451629529083,0.07325796149911924
Heat Index 35,0.016393470296267303,0.016976202689274925
Heating Degree Days,-0.16467522343826616,-0.1353343242134198
Land Surface Temperature,0.26633529914818893,0.14358900229866675
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,-0.24018800523781764,-0.025641185619645034
Population density (people per sq. km of land area),0.19655473076881183,0.0824500897548986
Standardised Precipitation-Evapotranspiration Index,-0.01291479395534411,-0.030059305882675896
Agricultural land (% of land area),0.2757423650735752,-0.050407570130447374
"Agriculture, forestry, and fishing, value added (% of GDP)",0.06287621346353625,0.15835795484072515
Food production index (2014-2016 = 100),0.0027393593027173666,0.02547829068571063
"Adjusted savings, natural resources depletion (% of GNI)",0.020920183465502822,-0.11048033278032107
"Adjusted savings, net forest depletion (% of GNI)",-0.005072054490260703,0.15510052437802055
"Annual freshwater withdrawals, total (% of internal resources)",0.36806995571168405,0.018050677346218312
Forest area (% of land area),0.19010883026188416,0.04698696979398023
Terrestrial and marine protected areas (% of total territorial area),-0.0012415889692735846,0.053491550955723874
Tree Cover Loss,-0.14031836029158676,-0.2430355225148589
