,0,1
GDP (annual % growth),-0.06199513664140144,0.05213227399390576
Individuals using the Internet (% of population),0.714044115943179,-0.6004461884067657
Proportion of seats held by women in national parliaments (%),0.699923486562553,-0.5885720227912379
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.43498900124143214,-0.3657862055893888
"School enrollment, primary and secondary (gross), gender parity index (GPI)",-0.23890034389005957,0.2045628653390026
Government Effectiveness: Estimate,0.8763499902001031,-0.7369306735773594
Regulatory Quality: Estimate,0.8147402425599509,-0.6851224766981404
Economic and Social Rights Performance Score,0.38606802816852104,-0.3246481145962548
Voice and Accountability: Estimate,0.7894332878294793,-0.6638416284020621
"Patent applications, residents",0.4200367678412381,-0.3532127365937686
Research and development expenditure (% of GDP),0.8508868143004449,-0.7583408872930645
Scientific and technical journal articles,0.5630578451473881,-0.47348046069212185
Control of Corruption: Estimate,0.9079148413395344,-0.7634738438536993
Net migration,0.16003702175952414,-0.13457658647959977
Political Stability and Absence of Violence/Terrorism: Estimate,0.6737964821157013,-0.5666015872336579
Rule of Law: Estimate,0.8990286384971153,-0.7560013550998471
