,cluster,Economy,Year
0,0,Austria,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
1,0,Belgium,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
2,0,Czechia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
3,0,Denmark,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
4,0,Estonia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
5,0,Finland,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
6,0,France,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
7,0,Germany,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
8,0,Iceland,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
9,0,Ireland,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
10,0,Italy,"2018, 2019, 2020"
11,0,Lithuania,"2019, 2020"
12,0,Luxembourg,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
13,0,Netherlands,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
14,0,Norway,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
15,0,Poland,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
16,0,Portugal,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
17,0,Slovenia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
18,0,Spain,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
19,0,Sweden,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
20,0,Switzerland,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
21,0,United Kingdom,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
22,1,Albania,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
23,1,Armenia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
24,1,Azerbaijan,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
25,1,Belarus,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
26,1,Bosnia and Herzegovina,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
27,1,Bulgaria,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
28,1,Croatia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
29,1,Cyprus,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
30,1,Georgia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
31,1,Greece,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
32,1,Hungary,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
33,1,Italy,"2012, 2013, 2014, 2015, 2016, 2017"
34,1,Kazakhstan,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
35,1,Latvia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
36,1,Lithuania,"2012, 2013, 2014, 2015, 2016, 2017, 2018"
37,1,Malta,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
38,1,Moldova,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
39,1,Montenegro,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
40,1,North Macedonia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
41,1,Romania,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
42,1,Russian Federation,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
43,1,Serbia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
44,1,Slovak Republic,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
45,1,Turkiye,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
46,1,Ukraine,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
