,PCA1,PCA2
GDP (annual % growth),-0.023775131770144477,-0.1638187659980493
Individuals using the Internet (% of population),0.28327812029689264,-0.061848888296399396
Proportion of seats held by women in national parliaments (%),0.24181802133618005,0.060158511601057174
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.14300921099252203,-0.18733594946730783
"School enrollment, primary and secondary (gross), gender parity index (GPI)",-0.1187461976143991,-0.10183190852117073
Government Effectiveness: Estimate,0.3463424760450909,-0.0708793456577235
Regulatory Quality: Estimate,0.3287483779897613,-0.11981228094719365
Economic and Social Rights Performance Score,0.146774616952098,0.10935083893318245
Voice and Accountability: Estimate,0.3186435671780698,-0.1286573077518351
"Patent applications, residents",0.11925946868471751,0.5517889700311551
Research and development expenditure (% of GDP),0.3221202400907143,0.17041451179416978
Scientific and technical journal articles,0.1892555979431153,0.48743212499328853
Control of Corruption: Estimate,0.3442226426435086,-0.07525114255349885
Net migration,0.06291605588499398,0.45522780361906273
Political Stability and Absence of Violence/Terrorism: Estimate,0.27910816899680385,-0.27976612023199426
Rule of Law: Estimate,0.34771238606682126,-0.1004937426051768
