,0,1
Access to clean fuels and technologies for cooking  (% of population),0.38034374497177514,-1.0162861520496547
Access to electricity (% of population),0.15482926186084564,-0.4152239295358771
People using safely managed drinking water services (% of population),0.45760324970108385,-1.3946557002128566
People using safely managed sanitation services (% of population),0.44604335359993935,-1.2847309567162268
"Fertility rate, total (births per woman)",-0.11784131216218771,0.31602897352586923
"Life expectancy at birth, total (years)",0.3272187224115404,-0.8775411191945769
Population ages 65 and above (% of total population),0.2525803197524133,-0.6773744938814708
"Government expenditure on education, total (% of government expenditure)",0.13005310875852236,-0.5140228015301254
"School enrollment, primary (% gross)",0.055025248321503475,-0.14756771140766575
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.3574319620274121,-0.9585675345280597
"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.2390675846861618,-0.6411357952947074
"Hospital beds (per 1,000 people)",0.06616684339526602,-0.17744744365094076
"Mortality rate, under-5 (per 1,000 live births)",0.42205261456124094,-1.1318683754142371
Prevalence of overweight (% of adults),0.12906553038310747,-0.3461302860274212
Prevalence of undernourishment (% of population),0.23272250407961137,-0.6241194427589535
Gini index,0.2833188934921595,-1.0489705029550536
Income share held by lowest 20%,0.27535520169772904,-0.9892810603097992
Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.4033346451489071,-1.2351881629225157
Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),0.42229339494776896,-1.3055759618168805
Poverty headcount ratio at national poverty lines (% of population),0.28383898276624003,-0.7130558306865238
Prosperity gap (average shortfall from a prosperity standard of $28/day),0.41440628024872356,-1.266382701275411
