,PCA1,PCA2
Access to clean fuels and technologies for cooking  (% of population),-0.1825332725331738,0.1450007508373409
Access to electricity (% of population),-0.03422755191719967,-0.021433372640376282
People using safely managed drinking water services (% of population),-0.39006968904651224,-0.20304505695478708
People using safely managed sanitation services (% of population),-0.3295661102067317,-0.06343594293618118
"Fertility rate, total (births per woman)",0.039003426093324675,0.18203238227064616
"Life expectancy at birth, total (years)",-0.290422154945177,-0.38468769874041503
Population ages 65 and above (% of total population),-0.1496734987738142,-0.3069335679998664
"Government expenditure on education, total (% of government expenditure)",-0.04156653966178749,0.18789512734216085
"School enrollment, primary (% gross)",-0.019319819124310852,-0.01859794184825951
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",-0.18548194248516667,0.12272597242205009
"Unemployment, total (% of total labor force) (modeled ILO estimate)",-0.16226427823482917,0.2917754774381458
"Hospital beds (per 1,000 people)",-0.006480390152316616,0.2595791577253731
"Mortality rate, under-5 (per 1,000 live births)",-0.23820814801743578,-0.21390640687187887
Prevalence of overweight (% of adults),-0.0913057285109358,-0.060847008063858225
Prevalence of undernourishment (% of population),-0.11465200025100473,-0.03758586525403332
Gini index,-0.1997955846009924,0.29493218604270954
Income share held by lowest 20%,-0.21294289006339925,0.40885965512361966
Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),-0.2585561338770063,0.2308775878499323
Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),-0.4131082844020968,-0.06418405181566611
Poverty headcount ratio at national poverty lines (% of population),-0.13828976037072985,0.30374464991347266
Prosperity gap (average shortfall from a prosperity standard of $28/day),-0.33686123742526786,-0.0013678213267686611
