,feature,mean_abs_shap
8,Voice and Accountability: Estimate,5.4919586
15,Rule of Law: Estimate,2.7382612
10,Research and development expenditure (% of GDP),2.5068274
16,CPI,2.234549
9,"Patent applications, residents",1.6996368
12,Control of Corruption: Estimate,1.5144311
2,Proportion of seats held by women in national parliaments (%),1.1465278
11,Scientific and technical journal articles,0.7082038
5,Government Effectiveness: Estimate,0.6951973
14,Political Stability and Absence of Violence/Terrorism: Estimate,0.56083864
1,Individuals using the Internet (% of population),0.5195827
6,Regulatory Quality: Estimate,0.4158705
7,Economic and Social Rights Performance Score,0.39170665
3,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.21948783
4,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.21550238
13,Net migration,0.10302712
0,GDP (annual % growth),0.081051
