,feature,mean_abs_shap
10,Research and development expenditure (% of GDP),6.222111
8,Voice and Accountability: Estimate,4.955661
15,Rule of Law: Estimate,2.032682
5,Government Effectiveness: Estimate,1.6235073
2,Proportion of seats held by women in national parliaments (%),1.2771226
12,Control of Corruption: Estimate,1.1784674
11,Scientific and technical journal articles,1.0455012
9,"Patent applications, residents",0.9299939
6,Regulatory Quality: Estimate,0.7049405
1,Individuals using the Internet (% of population),0.70061105
7,Economic and Social Rights Performance Score,0.28109187
3,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.22536449
4,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.1511152
14,Political Stability and Absence of Violence/Terrorism: Estimate,0.10112458
13,Net migration,0.09661185
0,GDP (annual % growth),0.0880401
