,feature,mean_abs_shap
2,People using safely managed drinking water services (% of population),4.5924335
18,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),4.292331
3,People using safely managed sanitation services (% of population),2.340787
20,Prosperity gap (average shortfall from a prosperity standard of $28/day),1.1450268
15,Gini index,0.8670821
17,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.7563773
11,"Hospital beds (per 1,000 people)",0.7203025
16,Income share held by lowest 20%,0.577178
6,Population ages 65 and above (% of total population),0.5645583
13,Prevalence of overweight (% of adults),0.4700251
12,"Mortality rate, under-5 (per 1,000 live births)",0.3863753
9,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.30693424
19,Poverty headcount ratio at national poverty lines (% of population),0.30305248
10,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.2458834
5,"Life expectancy at birth, total (years)",0.2396601
14,Prevalence of undernourishment (% of population),0.16735666
8,"School enrollment, primary (% gross)",0.13101469
4,"Fertility rate, total (births per woman)",0.0847084
7,"Government expenditure on education, total (% of government expenditure)",0.079934135
21,CPI,0.072496645
0,Access to clean fuels and technologies for cooking  (% of population),0.03883453
1,Access to electricity (% of population),0.023447765
