,feature,mean_abs_shap
2,People using safely managed drinking water services (% of population),4.6394877
18,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),4.065343
20,Prosperity gap (average shortfall from a prosperity standard of $28/day),2.0917265
3,People using safely managed sanitation services (% of population),1.5885718
11,"Hospital beds (per 1,000 people)",0.9942288
15,Gini index,0.90691054
16,Income share held by lowest 20%,0.6005232
12,"Mortality rate, under-5 (per 1,000 live births)",0.579228
17,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.5762862
6,Population ages 65 and above (% of total population),0.43949103
13,Prevalence of overweight (% of adults),0.42102602
10,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.33946788
19,Poverty headcount ratio at national poverty lines (% of population),0.27397835
9,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.2485836
5,"Life expectancy at birth, total (years)",0.2247127
14,Prevalence of undernourishment (% of population),0.18030843
8,"School enrollment, primary (% gross)",0.13056771
0,Access to clean fuels and technologies for cooking  (% of population),0.08351731
4,"Fertility rate, total (births per woman)",0.072363794
7,"Government expenditure on education, total (% of government expenditure)",0.057846375
1,Access to electricity (% of population),0.011124711
